"English Word","Word Type","Dragon Translation"
Ambusher,noun,Treymoziik
Amend,verb,Vokren
Amethyst,noun,Jenkazaar
Amid,preposition,Benix
Amidst,preposition,Benix
Amnesia,noun,"Vahruktnu, Zahgraan-Hah"
Among,preposition,Benix
Amount,noun,Waarth
Amphibian,noun,Lom-Pahrk
Amphibious,noun,Lom-Pahrk
Amphitheater,noun,Praal-Grahstaad
Ample,adjective,Zohaas
Amplify,verb,Ter
Amputate,verb,Vofaak
Amulet,noun,Kagaav
Amuse,verb,Skem
Amused,adjective,Skemaan
An,adjective,Aan
Anaconda,noun,Lingrahprakem
Anal,adjective,Reymuv
Analyze,verb,Siivahzen
Analyzer,noun,Vahzen-Tovitaan
Anarchist,noun,Vothnijuniik
Anarchy,noun,Vothnijun
Anatomy,noun,Kopraanun
Ancestor,noun,Meyr
Ancestral,adjective,Meyruv
Ancestry,adjective,Meyriid
Anchor,verb,Ankol
Anchor,noun,Ankid
Ancient,adjective,Kruziik
And,conjunction,Ahrk
Anecdote,noun,Maltiid-Tey
Anesthesia,noun,Laagdrun
Angel,noun,Lokzii
Anger,verb,Gerahgron
Anger,noun,Rahgot
Angle,noun,Ulaz
Angry,adjective,Rahgron
Angry,noun,Strunus
Anguish,noun,Vaarnufaaz
Animal,noun,Raan
Animalistic,adjective,Raanuv
Animate,verb,Eliir
Animism,noun,Ziilun
Animosity,noun,Kosilahey
Animus,noun,Viil
Anion,noun,Kuz-Rimalureyd
Ankle,noun,Sistak
Annex,verb,Eizurik
Annihilate,verb,Skag
Anniversary,noun,Doruvos
Announce,verb,Pahvaak
Annoy,verb,Motag
Annoyance,noun,Motagiik
Annoyer,noun,Motagiik
Annual,adjective,Eruvus
Annul,verb,Obliis
Anoint,verb,Qelek
Anomaly,noun,Uzgrolein
Anonymity,adjective,Luftnum
Anonymous,adjective,Luftnu
Another,adjective,Vorey
Answer,verb,Fahraal
Ant,noun,Klav
Anteater,noun,Naakinseklav
Antelope,noun,Neldriin
Anthem,noun,Weridaas
Anthropology,noun,Hahsemun
Anthropomorph,noun,Muneyd
Anthropomorphic,noun,Muneyd
Antic,noun,Ukiir
Anticipate,verb,Prokuz
Anticipate,verb,Prokuz
Antidote,noun,Voviidost
Antler,noun,Andag
Anus,noun,Reym
Anvil,noun,Keyn
Anxiety,noun,Aank
Anxious,adjective,Aankei
Any,adjective,Naan
Anyhow,adverb,Naanven
Anymore,adverb,Nidzos
Anyone,noun,Naangein
Anyplace,adverb,Pahkolos
Anything,adjective,Naan
Anyway,adverb,Naanven
Anywhere,adverb,Pahkolos
Apart,adverb,Oraan
Apathy,noun,Nurzir
Ape,noun,Atumun
Aphorism,noun,Vahzensaag
Apocalypse,noun,Suldaan
Apocalyptic,adjective,Suldaanuv
Apologize,verb,Friikir
Apology,noun,Friik
Apostle,noun,Funrahiik
Apothecary,noun,Vahraniik
Apparel,noun,Reken
Apparent,adjective,Baar
Apparition,noun,Sii
Appeal,noun,Ziinahl
Appealing,adjective,Zolaaf
Appear,verb,Genun
Appearance,noun,Genund
Appease,verb,Maunaz
Appendage,noun,Faak
Applaud,verb,Haalrein
Applause,noun,Haalrein
Apple,noun,Hild
"Apple Juice",noun,Hild-Piin
Applewood,noun,Gosvahsehild
Applicable,adjective,Vispeylaan
Apply,verb,Peylaan
Appoint,verb,Volkon
Appreciate,verb,Bal
Apprehensive,adjective,Meyarnkei
Apprentice,noun,Prustmun
Approach,verb,Lov
Appropriate,adjective,Prudaav
Approve,verb,Zeylum
April,noun,Haalokluv
Apron,noun,Meliis
Aqua,adjective,Viid
Aquatic,adjective,Lomuv
Arbitrary,noun,Kongaar
Arcana,noun,Lahbaas
Arcane,adjective,Nuzuk
Arch,noun,Prok
Archaeology,noun,Hahsewuth
Archenemy,noun,Lotpaal
Archer,noun,Ronaan
Archery,noun,Ronaar
Archetype,noun,Venselor
Archipelago,noun,Skenpor
Architect,noun,Wahlaan-Thur
Archmage,noun,Lotlahzey
Archnemesis,noun,Lotpaal
Archon,noun,Kriisjor
Arctic,adjective,Oduv
Arduous,adjective,Zograv
Arduously,adverb,Zogravaar
Are,verb,Los
Area,noun,"Nizaag, Staad"
Arena,noun,Grahstaad
Argonia,noun,Siigonor
Argonian,noun,Siigonis
Argue,verb,Dilah
Argument,noun,Dilah
Aria,noun,Sulovaas
Arid,adjective,Vofukt
Aridity,adjective,Vofukt
Arise,verb,Alok
Arm,verb,Deyn
Arm,noun,Yen
Armada,noun,Flaar
Armageddon,noun,Suldaan
Armband,noun,"Yen-Du'ul "
Armchair,noun,Yendruk
Armful,noun,Zoyen
Armlet,noun,"Yen-Du'ul "
Armor,noun,Qah
Armored,adjective,Qahaar
Armory,noun,Qahliir
Army,noun,"Lahvu, Fussekein"
Aroma,noun,Sahlon
Around,preposition,Um
Arouse,verb,Eliir
Arrange,verb,Devaak
Arrangement,noun,Vorstaald
Array,noun,Dograan
Arrival,noun,Arosend
Arrive,verb,"Bo, Aros"
Arrogance,noun,Pahlok
Arrogant,adjective,Pahlokaal
Arrow,noun,Ronaaz
Arson,noun,Vosodag
Art,noun,Baas
Artefact,noun,Tholaar
Artery,noun,Sostrah
Articulate,adjective,Bozulat
Artifact,noun,Tholaar
Artificial,adjective,Joormur
Artillery,noun,Gutzekein
Artist,noun,Verbaasiik
Artistic,adjective,Baasus
Artsy,adjective,Baasus
As,adverb,Ol
Ascend,verb,Envok
Ascendant,noun,Envokaat
Ascetic,noun,Ronir
Asexual,adjective,Niliinvas
Ash,noun,Kii
Ashamed,adjective,Zopaak
Ashen,adjective,Kiihus
Ashes,noun,Kii
Aside,adverb,Ireid
Ask,verb,Laan
Asleep,adjective,Enlaag
Aspect,noun,Vensekos
Aspen,noun,Odrin
Aspiration,noun,Tolaan
Aspire,verb,Tolaan
Ass,noun,Reym
Assailant,noun,Zahkeiniik
Assassin,noun,Ahvulon
Assassinate,verb,Kriivat
Assassination,noun,Kriivat
Assault,verb,Zahkein
Assaulter,noun,Zahkeiniik
Assemble,verb,Lahvroth
Assembly,noun,Pahlahvraan
Assess,verb,Kronlorot
Assiduous,adjective,Meykovei
Assign,verb,Vusiin
Assist,verb,Frey
Assistance,noun,Freyend
Assistant,noun,Freyiik
Associate,noun,Krosfahdon
Associate,verb,Gevoth
Assorted,adjective,Dumedus
Assume,verb,Lorfonaar
Assurance,noun,Pahsu
Asteroid,noun,Gutvild
Astonish,verb,Sujir
Astound,verb,Daazun
Astral,adjective,Filuv
Astray,adjective,Hondativ
Astrology,noun,Hahsesiin
Astronomer,noun,Hahsefilah
Astronomy,noun,Hahsefil
Asunder,adverb,Nivosik
At,preposition,Ahst
Atheist,noun,Koraaknu
Atmora,noun,Atmora
Atmosphere,noun,Gekenlokin
Atom,noun,Zahkose
Atomic,noun,Zahkoseyd
Atrocious,adjective,Volrokei
Atrocity,noun,Volrog
Atronach,noun,Mukaronahs
Attack,verb,"Iidah, Zahkein"
Attacker,noun,Zahkeiniik
Attain,verb,Kurahiv
Attainable,adjective,Vikurahiv
Attainment,noun,Kurahivend
Attempt,verb,Togaat
Attend,verb,Nuviis
Attention,noun,"Morah, Ahmiin"
Attentive,adjective,Ahmiin
Attract,verb,Lokaalvut
Attractive,adjective,Lokalvutaal
Attractor,noun,Lokaalvutiik
Attribute,noun,Trahkiin
Attrit,verb,Liivnos
Auburn,adjective,Kilmin
Audacious,adjective,Dolokei
Audacity,noun,Dolok
Audible,adjective,Vihon
Aught,pronoun,Nonaan
Augment,verb,Ter
August,noun,Laatmaas
Aunt,noun,Tiinah
Aura,noun,Silkun
Aural,adjective,Honuv
Aurochs,noun,Kahboz
Aurora,noun,Loksilkun
Author,noun,Verotiik
Authority,noun,"Suleyk, Mulaag, Thur"
Autobiography,noun,Teyselaas
Automatic,adjective,Meyar-Sharaan
Automaton,noun,Dwinaar
Automobile,noun,Geltkey
Autumn,noun,Gravuun
Autumnal,adjective,Gravuunus
Avail,noun,Balaar
Availability,adjective,Vilost
Available,adjective,Vilost
Avalanche,noun,Odrahgol
Avatar,noun,Rahnunahst
Avenge,verb,Nahlok
Avenger,noun,Nahkriid
Avoid,verb,Vudoz
Await,verb,Saraan
Awake,verb,Vopraan
Award,verb,Urid
Aware,adjective,Ahmiin
Awareness,noun,Ahmiin
Away,preposition,Hond
Awe,noun,Keyr
Awesome,adjective,Zokeyr
Awesomeness,noun,Zokeyrom
Awkward,adjective,Ilkoth
Axe,noun,Hahkun
Ayleid,noun,Filkiir
Babble,verb,Vanvaak
Baby,noun,Pahdul
Back,noun,Rigir
Back,preposition,Zek
Backward,adverb,Zekativ
Bacon,noun,Flesk
Bad,adjective,Volzah
Badge,noun,Siinsezin
Badger,verb,Terag
Bag,noun,Ahpaan
Baggage,noun,Kahlos
Bagpipe,noun,Sunahpaan
Bail,noun,Starak
Bake,verb,Yusnol
Baker,noun,Yusnoliik
Balance,noun,Ro
Balanced,adjective,Roaal
Bald,adjective,Omnu
Bale,noun,Gurah
Ball,noun,Niiv
Ballad,noun,Lovaassetanz
Ballista,noun,Niidam
Ballistic,adjective,Stinfus
Ballistics,adjective,Stinfus
Balloon,noun,"Suniiv, Suniiv"
Balm,noun,Bahsam
Balsam,noun,Bahsam
Bamboo,noun,Veydogosvah
Ban,verb,Fustir
Banana,noun,Banaan
Band,noun,"Lid, Lovaaslid"
Bandage,noun,Ahraandon
Bandanna,noun,"Klovriiv, Klovriiv"
Bandit,noun,Thunvu
Bane,noun,Feyn
Bang,verb,Bau
Bangs,noun,Teyxom
Banish,verb,Fustir
Banjo,noun,Rodakwaar
Banjoist,noun,Rodakwaarin
Bank,noun,Biirzah
Banner,noun,Vahyarak
Banquet,noun,Velaaz
Banter,noun,Izaak
Baptize,verb,Qelek
Bar,verb,Tend
Bar,noun,Snol
Barbarian,noun,Volgin
Barber,noun,Omveyaar
Bard,noun,Sonaan
Bare,adjective,Nunt
"Bare Teeth",verb,Stiir
Barely,adverb,Nuth
Bareness,noun,Nuntom
Bargain,verb,Miik
Bargain,noun,Skunvar
Bark,verb,Kem
Bark,noun,Rindah
Barkeep,noun,Snoldein
Barman,noun,Snoldein
Barn,noun,Brenhof
Barometer,noun,Sufus-Funiik
Barometric,adjective,Sufusuv
Barrage,verb,Dahzunt
Barrel,noun,Tahdoor
Barren,adjective,Nunt
Barrier,noun,Tendrok
Barrow,noun,Staag
Bartender,noun,Snoldein
Barter,verb,Miik
Base,noun,Ubaak
Baseball,noun,Tus-Niiv
Basement,noun,Nebenweyt
Basil,noun,Kump
Basilisk,noun,Viijun
Basin,noun,Storn
Bask,verb,Nokraan
Basket,noun,Doskad
Basketball,noun,Doskad-Niiv
Bass,noun,Thulovaas
Bassist,noun,Zoklotlovaastrinin
Bassoon,noun,Faarsunaak
Bastard,noun,Firok
Bastion,noun,Gaard
Bat,verb,Sloog
Bat,noun,Naat
Bath,noun,Wahsek
Bathe,verb,Wahsek
Bathroom,noun,Shunstaad
Batter,verb,Zahkein
Battery,noun,Gutzekein
Battle,noun,Grah
"Battle Cry",noun,Grahrein
Battleaxe,noun,Grahkun
Battlefield,noun,Frod
Battlemage,noun,Keinlahzey
Battlement,noun,Grahangaar
Battleship,noun,Grahveysun
Bawdy,adjective,Griir
Bay,noun,"Vaal, Sokaaz, Jotserath"
Bayonet,noun,Zahkriizon
Bazooka,noun,Kaag-Thulzun
Be,verb,Kos
"Be Like",verb,Fon
Beach,noun,Traaz
Beacon,noun,Siintul
Bead,noun,Breyl
Beak,noun,Spok
Beam,noun,Bokun
Bean,noun,Fruksethok
Bear,noun,Kodaav
Bear,verb,Brud
Beard,noun,Vum
Bearded,adjective,Vumaal
Beast,noun,"Sivaas, Sunvaar"
Beat,verb,Graal
Beat,noun,Razaan
Beautiful,adjective,Brit
Beauty,noun,Brii
Beaver,noun,Qalteyk
Because,conjunction,Dahik
Beckon,verb,Braag
Become,verb,Meyz
Bed,noun,Sek
Bedside,adjective,Sekreid
Bee,noun,"Em, Malnin"
Beef,noun,Stek
Beehive,noun,"Embodein, Emleret"
Been,verb,Kosaan
Beer,noun,Geikaal
Beeswax,noun,Emronk
Beetle,noun,Skeyz
Befall,verb,Enmah
Before,preposition,Us
Befriend,verb,Frahdin
Beg,verb,Bolog
Beget,verb,Got
Beggar,noun,Bologin
Begin,verb,Gon
Beginner,noun,Goniik
Beginning,noun,Gon
Begone,interjection,Bonu
Behave,verb,Kosov
Behavior,noun,Kosoveyd
Behead,verb,Voklov
Behemoth,noun,Lotsunvaar
Behind,preposition,Undin
Behold,verb,Enmindok
Beholder,noun,Enmindokin
Beige,adjective,Tavus
Being,noun,Nahlii
Belated,adjective,Spein
Belch,noun,Pooksum
Belief,noun,Koraak
Believable,adjective,Viskorah
Believe,verb,Korah
Believer,noun,Korahiid
Belittle,verb,Gemal
Bell,noun,Kriing
Belly,noun,Skerah
Belong,verb,Engein
Beloved,adjective,Lokalaat
Below,preposition,Atum
Belt,noun,Golaat
Bench,noun,Pravoz
Bend,verb,Kreh
Bend,noun,Krek
Beneath,preposition,Neben
Benefactor,noun,Hiifahdon
Beneficial,adjective,Dorokuv
Benefit,noun,Dorok
Benevolence,noun,Dremsilaar
Benevolent,adjective,Dremsil
Benign,adjective,Bahnu
Bent,adjective,Krel
Bequeath,verb,Ofalaan
Bequest,noun,Grolaan
Berate,verb,Bulned
Berry,noun,Ogah
Beseem,verb,Komed
Beside,adjective,Areid
Besiege,verb,Kirgar
Besmirch,verb,"Nahpok, Denaak"
Best,adjective,Pruzaan
Bestow,verb,Enfan
Bet,verb,Dahkriis
Betray,verb,Grut
Betrayal,noun,Gruth
Betroth,verb,Aavlaas-Vaat
Betrothal,verb,Aavlaas-Vaat
Better,adjective,Pruz
Between,preposition,Nix
Beverage,noun,Buruvaan
Beware,verb,Kosiir
Bewilder,verb,Gejeykaan
Bewilderment,noun,Gejeykaant
Bewitch,verb,Ensosin
Beyond,preposition,Vortii
Bib,noun,Naakriiv
Bicycle,noun,Zirokey
Bicycler,noun,Zirokeyd
Bicyclist,noun,Zirokeyd
Bid,verb,Braag
Big,adjective,Saak
Bike,noun,Zirokey
Biker,noun,Agrokeyd
Bile,noun,Vahriz
Bill,noun,Senah
Billfold,noun,Faraan-Brulost
Billiards,noun,Bord-Niiv
Billow,noun,Viigah
Bin,noun,Kleyt
Bind,verb,Gron
Binoculars,noun,Gutmiin
Biography,noun,Teyselaas
Biological,adjective,Laasuv
Biology,noun,Hahselaas
Birch,noun,Lahan
Bird,noun,Lokraan
Birth,noun,Kiindah
Birthday,noun,Kiindahsul
Birthright,noun,Kiindahqaar
Birthright,noun,Kruzikaar
Birthsign,noun,Kiindahsiin
Bisexual,adjective,Neyliinvas
Bismuth,noun,Meysolog
Bison,noun,Omkalul
Bit,noun,Muldeytorax
Bite,verb,Fiit
Bitter,adjective,Ahzid
Bittersweet,adjective,Ahzidhes
Blab,verb,Jol
Black,adjective,Ved
"Black book",noun,Vulmindok
"Black Marsh",noun,Siigonor
Blackberry,noun,Vedogah
Blacken,verb,Geved
Blacksmith,noun,Heimiik
Bladder,noun,Nevul-Kolost
Blade,noun,Tuz
Blades,noun,Dovahdaan
Blame,verb,Noraas
Blank,adjective,Niliik
Blanket,noun,Donin
Blasphemy,noun,Rakroved
Blast,noun,Kaagend
Blast,verb,Kaag
Blaze,noun,Yem
Blazing,adjective,Yoltaas
Bleach,verb,Gesot
Bleak,adjective,Veyd
Bleed,verb,Sosaal
Blemish,noun,Vahnis
Bless,verb,Kog
Blessing,noun,Kogaan
Blew,verb,Sun
Blight,noun,Kreyn
Blimp,noun,Loksuniiv
Blind,adjective,Koraavnu
Blind,verb,Vokoraav
Blink,verb,Prus
Bliss,noun,Vuro
Blister,noun,Slesgen
Blizzard,noun,Iizstrun
Block,verb,Wadren
Blog,noun,Rilorpel
Blood,noun,Sos
"Blood of Dragonkind",noun,Sossedov
Bloodeater,noun,Sosnaak
Bloodied,adjective,Sus
Bloodlust,noun,Sosahlos
Bloodshed,noun,Sosmah
Bloodthirst,noun,Sosahlos
Bloody,adjective,Sus
Bloody,verb,Gesus
Bloom,verb,Veyr
Blossom,verb,Veyr
Blow,verb,Sun
Blue,adjective,Bii
"Blue Jay",noun,Biiz
Blue-Green,adjective,Biigraag
Blueberry,noun,Lokogah
Bluff,verb,Vinok
Blunt,adjective,"Zurdon, Vokinzon"
Blur,noun,Mutahl
Blurry,adjective,Mutahus
Blurt,verb,Jol
Blush,verb,Lofur
Boar,noun,Horaak
Board,verb,Zund
Boast,verb,Kahmaar
Boastful,adjective,Zokahmaar
Boat,noun,Vaad
Bodily,adjective,Kopraanuv
Body,noun,Kopraan
Bog,noun,Trumgol
Boggle,verb,Jekah
Boil,verb,Yoz
Bold,adjective,Boziik
Boldly,adjective,Boziik
Boldness,noun,Bozikaar
Bolero,noun,Seinlovaas
Bolt,noun,Ruzaak
Bomb,noun,Yolmah
Bombard,verb,Dahzunt
Bond,noun,Grin
Bondage,noun,Aargron
Bone,noun,Qeth
Boneman,noun,Olqeinvul
Bonemold,noun,Qahseqeth
Bonfire,noun,Bex-Yol
Bonus,noun,Priizah
Bony,adjective,Qethus
Book,noun,Dey
Bookcase,noun,Hiilahsedey
Bookmark,noun,Deyziik
Bookshelf,noun,Hiilahsedey
Boot,noun,Stov
Booth,noun,Botikah
Border,noun,Tiran
Bore,verb,Vosotiiv
Boreal,noun,Galiko
Bored,adjective,Vosotivaal
Boredom,noun,Vosotiiv
Boring,adjective,Alunrinis
Born,verb,Kiin
Borrow,verb,Bodiis
Bosmer,noun,Feyfahliil
Boss,noun,Ahmiliik
Both,adjective,Ney
Bother,noun,Nuthaak
Bothersome,adjective,Zonuthaak
Bottle,noun,Ahlek
Bottom,noun,Baakrit
Bought,verb,Bir
Boulder,noun,Goldrah
Bounce,verb,Bunzit
Bouncy,adjective,Bunzitus
Bound,adjective,Gro
Boundless,adjective,Gronvu
Bountiful,adjective,"Posiil, Povaan"
Bounty,noun,Povaas
Boutique,noun,Botikah
Bovine,adjective,Bozuv
Bow,verb,Qiilaan
Bow,noun,"Brax, Lax, Lovaastuz"
Bowel,noun,Kipaar
Bowl,noun,Sath
Bowlegged,adjective,Krehpaagol
Box,noun,Bexaat
"Boxing Glove",noun,Lonfrit
Boy,noun,Sen
Boyfriend,noun,Onliin
Bra,noun,Niislahriiv
Brace,verb,Ahkt
Bracelet,noun,Brenaak
Braggart,noun,Kahmaariik
Braid,noun,Hadrozaal
Brain,noun,Hahlor
Brainstorm,noun,Hahstrun
Brake,noun,Gelt-Vuth
Bramble,noun,Revneis
Branch,noun,Andel
Brand,verb,Yolskein
Brass,noun,Gosis
Brassiere,noun,Niislahriiv
Brave,adjective,Kril
Bravely,adverb,Kril
Bravery,noun,Krilaan
Brawl,verb,Maalz
Brawn,noun,Solkiig
Brazen,adjective,Boziik
Breach,verb,Briik
Bread,noun,Brot
Breadstick,noun,Brotor
Break,verb,Kren
Breakable,adjective,Viskren
Breaker,noun,Kreniik
Breakfast,noun,Krenbahlok
Breakthrough,noun,Strunaar
Breast,noun,Niislah
Breath,noun,Su'um
Breathe,verb,Sum
Breeches,noun,Navik
Breed,verb,Verkiir
Breed,noun,Eylok
Breeze,noun,Suth
Breezy,adjective,Suthus
Brethren,noun,Zeyliik
Breton,noun,Munfahliil
Brevity,noun,Maltiidom
Brew,verb,Ginon
Brewery,noun,Geikalstaad
Brick,noun,Tuk
Bricklayer,noun,Tuknokin
Bride,noun,Kiimah
Bridge,noun,Fost
Bridle,noun,Taumir
Brief,adjective,Maltiid
Briefness,noun,Maltiidom
Brig,noun,Okazgrunz
Bright,adjective,Hez
Brightness,noun,Hezaar
Brilliance,noun,Uraan
Brilliant,adjective,Uraniik
